2026-04-21 21:29:16 [INFO] 📂 加载回测数据：data/new_coins_backtest.json
2026-04-21 21:29:16 [INFO] ✅ 加载成功，共 100 个币种
2026-04-21 21:29:16 [INFO] 📊 回测期间：2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 🚀 开始回测 v3.1: 2026-01-21 21:00:00 ~ 2026-04-21 21:00:00
2026-04-21 21:29:16 [INFO] 📊 共有 2160 个评分时点
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-01 11:01:00, 价格=0.0240, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-01 11:01:00, 价格=8.8160, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-01 11:01:00, 价格=0.0356, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 AINUSDT 开仓：时间=2026-04-01 11:01:00, 价格=0.0540, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 HANAUSDT 开仓：时间=2026-04-01 11:01:00, 价格=0.0411, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 1000XECUSDT 开仓：时间=2026-04-01 11:01:00, 价格=0.0067, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 GALAUSDT 开仓：时间=2026-04-01 11:01:00, 价格=0.0029, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-01 13:01:00, 价格=0.0241, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-01 13:01:00, 价格=8.9070, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-01 13:01:00, 价格=0.0355, 评分=9.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 AINUSDT 开仓：时间=2026-04-01 13:01:00, 价格=0.0534, 评分=10.00, 三次冲顶=False, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 HANAUSDT 开仓：时间=2026-04-01 13:01:00, 价格=0.0417, 评分=7.00, 三次冲顶=False, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 1000XECUSDT 开仓：时间=2026-04-01 13:01:00, 价格=0.0068, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 GALAUSDT 开仓：时间=2026-04-01 13:01:00, 价格=0.0030, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-01 15:01:00, 价格=0.0238, 评分=10.00, 三次冲顶=True, 量价背离=True
2026-04-21 21:29:16 [INFO] 🎯 LINKUSDT 开仓：时间=2026-04-01 15:01:00, 价格=9.0560, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDUSDT 开仓：时间=2026-04-01 15:01:00, 价格=0.0359, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 AINUSDT 开仓：时间=2026-04-01 15:01:00, 价格=0.0539, 评分=10.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 HANAUSDT 开仓：时间=2026-04-01 15:01:00, 价格=0.0413, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 1000XECUSDT 开仓：时间=2026-04-01 15:01:00, 价格=0.0069, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 GALAUSDT 开仓：时间=2026-04-01 15:01:00, 价格=0.0030, 评分=8.00, 三次冲顶=True, 量价背离=False
2026-04-21 21:29:16 [INFO] 🎯 IDOLUSDT 开仓：时间=2026-04-01 17:01:00, 价格=0.0235, 评分=10.00, 三次冲顶=True, 量价背离=True
