code,buy_date,sell_date,buy_price,sell_price,gross_return,net_return,holding_days,sell_reason
603616,2019-02-27,2019-03-08,11.71,11.96,0.02134927412467976,0.01784927412467976,9,移动止盈
002493,2019-04-03,2019-04-09,13.83,14.039200000000001,0.015126536514822916,0.011626536514822917,6,移动止盈
000506,2019-02-27,2019-03-07,3.3,3.6708000000000003,0.11236363636363651,0.10886363636363651,8,移动止盈
600590,2019-02-27,2019-03-08,6.35,6.762,0.06488188976377952,0.06138188976377952,9,移动止盈
603439,2020-06-12,2020-06-17,33.76,40.434000000000005,0.19768957345971586,0.19418957345971585,5,移动止盈
600231,2019-02-27,2019-03-08,3.28,3.2936,0.004146341463414719,0.0006463414634147193,9,移动止盈
000728,2019-02-15,2019-02-22,8.21,8.638800000000002,0.05222898903775892,0.048728989037758914,7,移动止盈
000728,2019-04-02,2019-04-10,10.7,10.6628,-0.003476635514018558,-0.006976635514018558,8,移动止盈
603081,2019-02-21,2019-03-01,13.19,14.996,0.13692191053828665,0.13342191053828664,8,移动止盈
002063,2019-02-26,2019-03-05,8.23,8.0868,-0.01739975698663429,-0.02089975698663429,7,移动止盈
601187,2020-12-01,2020-12-07,11.81,14.241600000000002,0.20589331075359874,0.20239331075359873,6,移动止盈
600689,2019-02-18,2019-02-28,10.05,11.0492,0.09942288557213931,0.09592288557213931,10,移动止盈
002611,2019-02-27,2019-03-06,4.0,4.1768,0.04420000000000002,0.040700000000000014,7,移动止盈
002611,2019-04-03,2019-04-08,4.42,4.4252,0.0011764705882353656,-0.0023235294117646345,5,移动止盈
000571,2019-02-27,2019-03-07,3.3,3.5420000000000003,0.07333333333333347,0.06983333333333347,8,移动止盈
000723,2019-02-18,2019-02-25,4.69,4.9496,0.055351812366737696,0.05185181236673769,7,移动止盈
002116,2019-02-21,2019-02-26,9.15,9.522,0.04065573770491802,0.037155737704918014,5,移动止盈
002116,2019-04-09,2019-04-22,12.63,12.1164,-0.040665083135391945,-0.04416508313539195,13,移动止盈
605008,2020-10-13,2020-10-22,19.99,20.7,0.03551775887943977,0.032017758879439764,9,移动止盈
605008,2020-11-18,2020-11-24,30.62,30.4336,-0.006087524493794989,-0.00958752449379499,6,移动止盈
002184,2019-02-20,2019-03-05,10.38,11.233200000000002,0.08219653179190761,0.07869653179190761,13,移动止盈
002840,2019-02-13,2019-02-25,14.2,15.180000000000001,0.06901408450704241,0.06551408450704241,12,移动止盈
000058,2019-02-26,2019-03-05,8.0,7.82,-0.022499999999999964,-0.025999999999999964,7,移动止盈
000807,2019-02-27,2019-03-05,4.61,4.7472,0.029761388286334053,0.026261388286334054,6,移动止盈
000807,2019-04-03,2019-04-09,5.44,5.796,0.06544117647058821,0.06194117647058821,6,移动止盈
000151,2019-02-27,2019-03-04,12.15,13.432,0.10551440329218106,0.10201440329218106,5,移动止盈
000686,2019-02-20,2019-02-27,7.62,8.924,0.17112860892388443,0.16762860892388443,7,移动止盈
