stock_code,stock_name,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
603616,603616_data,2019-02-27 00:00:00,2019-03-08 00:00:00,11.71,11.96,1.7849274124679761,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,11.08,2019
002493,002493_data,2019-04-03 00:00:00,2019-04-09 00:00:00,13.83,14.039200000000001,1.1626536514822916,6,移动止盈,2019-04-02 00:00:00,2019-04-01 00:00:00,12.74,2019
000506,000506_data,2019-02-27 00:00:00,2019-03-07 00:00:00,3.3,3.6708000000000003,10.886363636363651,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.07,2019
600590,600590_data,2019-02-27 00:00:00,2019-03-08 00:00:00,6.35,6.762,6.138188976377952,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,6.16,2019
603439,603439_data,2020-06-12 00:00:00,2020-06-17 00:00:00,33.76,40.434000000000005,19.418957345971585,5,移动止盈,2020-06-11 00:00:00,2020-06-10 00:00:00,27.88,2020
600231,600231_data,2019-02-27 00:00:00,2019-03-08 00:00:00,3.28,3.2936,0.06463414634147192,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,2.98,2019
000728,000728_data,2019-02-15 00:00:00,2019-02-22 00:00:00,8.21,8.638800000000002,4.872898903775892,7,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,7.82,2019
603081,603081_data,2019-02-21 00:00:00,2019-03-01 00:00:00,13.19,14.996,13.342191053828664,8,移动止盈,2019-02-20 00:00:00,2019-02-19 00:00:00,12.02,2019
002063,002063_data,2019-02-26 00:00:00,2019-03-05 00:00:00,8.23,8.0868,-2.089975698663429,7,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,7.28,2019
601187,601187_data,2020-12-01 00:00:00,2020-12-07 00:00:00,11.81,14.241600000000002,20.239331075359875,6,移动止盈,2020-11-30 00:00:00,2020-11-27 00:00:00,10.27,2020
600689,600689_data,2019-02-18 00:00:00,2019-02-28 00:00:00,10.05,11.0492,9.59228855721393,10,移动止盈,2019-02-15 00:00:00,2019-02-14 00:00:00,8.91,2019
002611,002611_data,2019-02-27 00:00:00,2019-03-06 00:00:00,4.0,4.1768,4.070000000000001,7,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.77,2019
000571,000571_data,2019-02-27 00:00:00,2019-03-07 00:00:00,3.3,3.5420000000000003,6.983333333333347,8,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,3.07,2019
000723,000723_data,2019-02-18 00:00:00,2019-02-25 00:00:00,4.69,4.9496,5.1851812366737695,7,移动止盈,2019-02-15 00:00:00,2019-02-14 00:00:00,4.3,2019
002116,002116_data,2019-02-21 00:00:00,2019-02-26 00:00:00,9.15,9.522,3.7155737704918015,5,移动止盈,2019-02-20 00:00:00,2019-02-19 00:00:00,8.29,2019
605008,605008_data,2020-10-13 00:00:00,2020-10-22 00:00:00,19.99,20.7,3.2017758879439766,9,移动止盈,2020-10-12 00:00:00,2020-10-09 00:00:00,16.52,2020
