stock_code,stock_name,pattern_index,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
603125,603125_data,1,2023-05-26 00:00:00,2023-06-09 00:00:00,32.6326,30.021991999999997,-8.225,10,移动止盈,2023-05-25 00:00:00,2023-05-24 00:00:00,32.88,2023
002998,002998_data,1,2020-11-11 00:00:00,2020-11-24 00:00:00,10.100089999999998,11.2884,11.540340704884823,9,移动止盈,2020-11-10 00:00:00,2020-11-09 00:00:00,10.35,2020
603290,603290_data,1,2020-03-12 00:00:00,2020-03-16 00:00:00,143.14299999999997,131.69155999999998,-8.224999999999994,2,移动止盈,2020-03-11 00:00:00,2020-03-04 00:00:00,135.87,2020
603153,603153_data,1,2023-04-21 00:00:00,2023-04-27 00:00:00,20.240219999999997,19.688,-2.9533300280332844,4,移动止盈,2023-04-20 00:00:00,2023-04-19 00:00:00,20.57,2023
603406,603406_data,1,2025-09-30 00:00:00,2025-10-27 00:00:00,46.546499999999995,46.46,-0.4108356697066242,13,移动止盈,2025-09-29 00:00:00,2025-09-25 00:00:00,46.64,2025
001203,001203_data,1,2021-07-07 00:00:00,2021-07-20 00:00:00,20.380359999999996,21.012800000000002,2.8781836532819156,9,移动止盈,2021-07-06 00:00:00,2021-07-05 00:00:00,20.99,2021
603995,603995_data,1,2020-02-13 00:00:00,2020-02-28 00:00:00,23.333309999999997,21.978800000000003,-6.030048662191495,11,移动止盈,2020-02-12 00:00:00,2020-02-11 00:00:00,24.0,2020
603073,603073_data,1,2023-05-19 00:00:00,2023-05-25 00:00:00,20.300279999999997,20.396400000000003,0.2484910060354153,4,移动止盈,2023-05-18 00:00:00,2023-05-12 00:00:00,20.2,2023
603072,603072_data,1,2025-03-11 00:00:00,2025-03-19 00:00:00,38.00796999999999,38.382400000000004,0.7601354860572953,6,移动止盈,2025-03-10 00:00:00,2025-02-27 00:00:00,37.87,2025
600916,600916_data,1,2021-03-31 00:00:00,2021-04-02 00:00:00,17.48747,18.381600000000002,4.887975175940283,2,移动止盈,2021-03-30 00:00:00,2021-03-19 00:00:00,18.1,2021
601528,601528_data,1,2021-08-20 00:00:00,2021-08-27 00:00:00,11.781769999999998,10.839228399999998,-8.225000000000003,5,移动止盈,2021-08-19 00:00:00,2021-08-18 00:00:00,12.43,2021
001268,001268_data,1,2022-08-18 00:00:00,2022-08-24 00:00:00,29.909879999999994,27.517089599999995,-8.225,4,移动止盈,2022-08-17 00:00:00,2022-08-11 00:00:00,29.42,2022
001328,001328_data,1,2023-05-19 00:00:00,2023-05-22 00:00:00,33.86382999999999,36.5424,7.684825911599509,1,移动止盈,2023-05-18 00:00:00,2023-05-17 00:00:00,34.79,2023
603565,603565_data,1,2020-11-11 00:00:00,2020-12-09 00:00:00,25.085059999999995,23.078255199999997,-8.224999999999993,20,移动止盈,2020-11-10 00:00:00,2020-11-05 00:00:00,25.32,2020
001287,001287_data,1,2023-06-02 00:00:00,2023-06-26 00:00:00,30.560529999999996,31.519199999999998,2.9119547583108063,14,移动止盈,2023-06-01 00:00:00,2023-05-30 00:00:00,31.32,2023
603170,603170_data,1,2022-08-31 00:00:00,2022-09-05 00:00:00,27.46744,26.376400000000004,-4.197121173287339,3,移动止盈,2022-08-30 00:00:00,2022-08-29 00:00:00,27.62,2022
