代码,回踩日期,放量日期,放量收盘价,质量总分,跌幅评分,时间评分,回踩评分,跌幅,缩量到放量天数
001215,2021-11-03 00:00:00,2021-11-02 00:00:00,68.1,80,20,40,20,12.368024132730008,12
001270,2022-07-18 00:00:00,2022-07-15 00:00:00,90.9,80,20,40,20,13.097406540029496,8
001314,2023-05-08 00:00:00,2023-05-05 00:00:00,38.48,80,20,40,20,12.392108508014784,11
001316,2022-10-25 00:00:00,2022-10-24 00:00:00,40.49,80,20,40,20,14.94999999999999,14
001373,2023-10-25 00:00:00,2023-10-24 00:00:00,39.8,80,20,40,20,12.652798627493041,12
002975,2020-04-01 00:00:00,2020-03-31 00:00:00,117.99,80,20,40,20,17.510948905109487,13
002977,2020-06-23 00:00:00,2020-06-22 00:00:00,86.67,80,20,40,20,17.5784475639967,13
002978,2020-06-09 00:00:00,2020-06-08 00:00:00,33.98,80,20,40,20,18.29044117647059,13
002987,2020-09-18 00:00:00,2020-09-17 00:00:00,57.13,80,20,40,20,14.467658843732103,14
600906,2021-06-21 00:00:00,2021-06-18 00:00:00,16.34,80,20,40,20,13.839027214823387,9
601456,2020-09-17 00:00:00,2020-09-16 00:00:00,17.06,80,20,40,20,13.832695462001091,7
601686,2021-03-12 00:00:00,2021-03-11 00:00:00,11.64,80,20,40,20,13.90134529147983,15
603310,2024-11-07 00:00:00,2024-11-06 00:00:00,19.32,80,20,40,20,17.936117936117945,5
603325,2024-04-29 00:00:00,2024-04-26 00:00:00,72.79,80,20,40,20,14.123581336696095,14
605008,2020-11-17 00:00:00,2020-11-16 00:00:00,28.5,80,20,40,20,15.366820885657638,5
605008,2021-04-08 00:00:00,2021-04-07 00:00:00,28.06,80,20,40,20,15.792880258899675,7
605080,2021-06-22 00:00:00,2021-06-21 00:00:00,59.2,80,20,40,20,12.939773404889692,12
605123,2020-11-20 00:00:00,2020-11-19 00:00:00,74.52,80,20,40,20,18.30610203401134,6
605138,2021-12-08 00:00:00,2021-12-07 00:00:00,11.47,80,20,40,20,19.986072423398323,8
002977,2020-08-04 00:00:00,2020-08-03 00:00:00,138.48,75,15,40,20,10.2240518288568,7
002984,2020-12-15 00:00:00,2020-12-14 00:00:00,24.39,75,15,40,20,11.680613668061373,13
002985,2020-08-04 00:00:00,2020-08-03 00:00:00,176.22,75,15,40,20,9.592592592592588,7
601995,2020-12-16 00:00:00,2020-12-15 00:00:00,61.5,75,15,40,20,9.083032490974729,12
603489,2020-02-13 00:00:00,2020-02-12 00:00:00,104.4,75,15,40,20,9.307958477508643,9
605198,2020-11-10 00:00:00,2020-11-09 00:00:00,27.66,75,15,40,20,10.143406785589363,12
605338,2020-11-17 00:00:00,2020-11-16 00:00:00,49.2,75,15,40,20,8.213794458636274,5
001208,2021-08-06 00:00:00,2021-08-05 00:00:00,10.46,70,10,40,20,23.35766423357664,9
001221,2025-09-10 00:00:00,2025-09-09 00:00:00,54.47,70,10,40,20,57.07500000000001,12
001296,2022-02-08 00:00:00,2022-02-07 00:00:00,36.64,70,10,40,20,40.0978407557355,12
001314,2023-03-21 00:00:00,2023-03-20 00:00:00,45.56,70,10,40,20,28.205969170219742,5
001316,2022-08-09 00:00:00,2022-08-08 00:00:00,37.48,70,10,40,20,37.29703132688208,14
001328,2023-05-22 00:00:00,2023-05-19 00:00:00,36.11,70,10,40,20,51.92307692307693,7
001373,2023-07-17 00:00:00,2023-07-14 00:00:00,44.78,70,10,40,20,41.44889663182346,10
001382,2025-05-07 00:00:00,2025-05-06 00:00:00,22.24,70,10,40,20,38.83783783783784,14
001382,2025-06-30 00:00:00,2025-06-27 00:00:00,21.23,70,20,30,20,12.99019607843137,18
001387,2024-03-07 00:00:00,2024-03-06 00:00:00,22.31,70,10,40,20,56.58168574401664,15
001387,2024-04-24 00:00:00,2024-04-23 00:00:00,23.61,70,10,40,20,23.855963990997747,13
001400,2025-06-12 00:00:00,2025-06-11 00:00:00,57.88,70,10,40,20,33.87191885835594,14
002972,2020-02-18 00:00:00,2020-02-17 00:00:00,22.63,70,10,40,20,36.101808439383795,12
002977,2020-05-08 00:00:00,2020-05-07 00:00:00,80.3,70,10,40,20,27.705627705627705,15
002981,2020-06-02 00:00:00,2020-06-01 00:00:00,40.86,70,10,40,20,20.448933782267115,7
002984,2020-10-30 00:00:00,2020-10-29 00:00:00,23.89,70,10,40,20,23.310023310023308,9
002985,2020-09-18 00:00:00,2020-09-17 00:00:00,159.03,70,10,40,20,20.967991340652546,14
002985,2020-11-16 00:00:00,2020-11-13 00:00:00,154.22,70,20,30,20,17.680323139065212,16
002997,2020-11-04 00:00:00,2020-11-03 00:00:00,18.7,70,10,40,20,31.951640759930918,15
601686,2021-01-15 00:00:00,2021-01-14 00:00:00,12.5,70,10,40,20,32.21802482460874,9
603061,2023-04-13 00:00:00,2023-04-12 00:00:00,122.84,70,10,40,20,25.729442970822287,9
603097,2022-06-21 00:00:00,2022-06-20 00:00:00,23.43,70,10,40,20,26.149068322981368,5
603102,2022-03-21 00:00:00,2022-03-18 00:00:00,48.89,70,10,40,20,37.402500928562574,15
603109,2020-02-17 00:00:00,2020-02-14 00:00:00,21.94,70,10,40,20,36.15360599438027,7
603112,2020-11-05 00:00:00,2020-11-04 00:00:00,11.83,70,10,40,20,35.00551267916208,9
603124,2025-05-07 00:00:00,2025-05-06 00:00:00,43.14,70,10,40,20,53.213367609254504,15
603125,2023-05-22 00:00:00,2023-05-19 00:00:00,30.89,70,10,40,20,46.11111111111111,7
603135,2023-05-19 00:00:00,2023-05-18 00:00:00,19.8,70,10,40,20,43.93355087511125,6
603155,2020-10-12 00:00:00,2020-10-09 00:00:00,34.0,70,10,40,20,34.92566897918732,9
603170,2022-08-29 00:00:00,2022-08-26 00:00:00,26.01,70,10,40,20,23.018973214285722,11
603171,2021-08-11 00:00:00,2021-08-10 00:00:00,37.52,70,10,40,20,37.172253567872545,12
603182,2022-11-01 00:00:00,2022-10-31 00:00:00,16.62,70,10,40,20,27.377049180327866,13
