date,open,high,low,close,volume,amount
2025-08-01,161.07,162.28,158.56,159.9,5023694,804839124.73
2025-08-04,159.4,164.47,158.91,162.96,6402884,1040627665.9
2025-08-05,162.96,163.63,161.48,162.0,4120150,668109028.0
2025-08-06,162.68,165.88,159.53,163.2,7148804,1161791074.62
2025-08-07,162.82,163.21,160.03,160.9,6071503,980939039.73
2025-08-08,160.85,161.1,156.5,156.7,6505094,1024998459.74
2025-08-11,156.87,161.4,156.03,160.36,6749394,1078183183.29
2025-08-12,160.77,168.23,160.51,167.66,13166732,2167505852.31
2025-08-13,167.67,174.93,165.82,173.0,13181441,2246811563.82
2025-08-14,174.0,185.87,173.1,177.88,16745655,3022427744.42
2025-08-15,176.3,181.4,176.0,178.24,10208339,1822643649.27
2025-08-18,178.24,182.65,176.67,179.1,11471972,2057768080.04
2025-08-19,181.97,189.97,179.45,180.3,14887446,2754236166.33
2025-08-20,178.03,194.8,175.71,193.08,18751516,3477920944.63
2025-08-21,193.08,193.82,184.51,185.94,13652942,2572606602.28
2025-08-22,185.53,196.5,185.53,196.02,15941951,3078911594.03
2025-08-25,204.98,208.12,192.0,197.65,19374028,3855200065.12
2025-08-26,193.2,200.88,191.18,196.0,12034880,2361012901.11
2025-08-27,200.5,215.6,199.98,215.6,14283443,3013270898.21
2025-08-28,225.1,237.16,222.15,237.16,29009159,6728876465.08
2025-08-29,236.8,246.65,228.1,246.3,25146931,5987520427.51
2025-09-01,249.0,249.99,225.21,233.99,26708377,6250388167.76
2025-09-02,229.05,230.76,211.0,212.99,24741615,5427492920.79
2025-09-03,215.12,215.94,205.53,206.57,15550265,3270303018.36
2025-09-04,206.62,209.29,191.28,194.81,18736726,3740230602.6
2025-09-05,196.02,198.7,192.19,198.0,17035909,3333769245.54
2025-09-08,199.5,207.72,198.0,201.16,17483368,3534689169.17
2025-09-09,201.15,204.93,196.1,197.93,11234905,2246099475.21
2025-09-10,197.08,204.68,197.08,201.2,12815957,2577531315.14
2025-09-11,199.88,212.44,198.52,211.79,17930117,3717051537.21
2025-09-12,210.75,221.98,207.22,215.65,18913779,4051082405.43
2025-09-15,220.0,220.88,208.4,208.8,14677946,3098937839.06
2025-09-16,209.0,214.88,207.66,211.0,11053452,2334421108.66
2025-09-17,209.0,214.0,206.28,208.32,11468129,2401275061.5
2025-09-18,210.57,229.15,210.57,223.51,29598031,6633781127.97
2025-09-19,222.92,222.92,212.34,215.28,20497593,4440260008.69
2025-09-22,218.5,234.44,218.5,229.89,21382268,4850975570.86
2025-09-23,228.79,232.96,219.68,224.82,18218228,4103526459.3
2025-09-24,222.0,229.41,218.5,224.02,18399869,4105076525.81
2025-09-25,224.1,229.55,220.3,227.35,15240840,3455048822.61
2025-09-26,224.5,224.57,211.2,212.01,19029837,4130257980.31
2025-09-29,212.01,216.66,209.9,214.9,10690979,2281910395.53
2025-09-30,217.01,225.58,216.02,225.55,15370816,3430083757.55
2025-10-09,226.0,226.01,218.18,222.49,14896167,3312497761.12
2025-10-10,218.0,220.11,205.0,205.96,14853384,3139958481.37
2025-10-13,197.0,205.82,197.0,204.72,9606372,1948091836.1
2025-10-14,208.5,209.95,195.0,195.25,11294764,2275084493.3
2025-10-15,195.31,197.5,186.1,194.35,15915566,3040630078.1
2025-10-16,193.38,196.68,190.95,192.03,8483230,1642467526.34
2025-10-17,190.67,191.94,183.7,183.76,9250590,1726760644.41
2025-10-20,186.36,188.55,184.0,185.6,8355059,1557255394.12
2025-10-21,185.9,190.86,185.3,189.71,8447740,1594258365.11
2025-10-22,187.95,191.68,186.36,189.43,6592126,1243992730.74
2025-10-23,188.72,188.76,184.17,187.7,5393736,1003249797.7
2025-10-24,189.5,194.18,189.12,194.0,9056892,1739429063.92
2025-10-27,197.99,198.5,190.61,194.16,12105202,2349553103.3
2025-10-28,196.0,199.8,192.0,192.78,12394907,2429171133.7
2025-10-29,191.4,192.74,189.0,191.99,10029241,1911359440.13
2025-10-30,192.0,192.15,185.01,185.12,10762461,2008154797.8
2025-10-31,184.0,186.0,181.04,181.45,8461357,1547576584.89
2025-11-03,181.5,181.5,176.01,178.86,8165929,1452064199.76
2025-11-04,178.5,179.6,173.52,174.8,6964332,1225677631.0
2025-11-05,169.0,173.88,168.8,172.79,8076142,1388234446.86
2025-11-06,173.43,175.41,172.8,175.0,6759127,1179872044.96
2025-11-07,173.01,175.4,171.3,173.35,5009556,867317716.04
2025-11-10,173.33,174.78,168.3,171.02,7045885,1201446269.76
2025-11-11,171.3,172.87,167.11,167.44,5710980,967537665.06
2025-11-12,167.45,171.2,165.96,167.59,6978628,1176240641.54
2025-11-13,168.0,171.6,167.0,171.04,6658576,1130294648.49
2025-11-14,169.0,169.99,166.66,166.66,5540654,932327052.44
2025-11-17,165.95,167.89,165.0,166.09,4819873,801244949.01
2025-11-18,165.43,172.3,165.2,169.61,9838658,1670908332.19
2025-11-19,170.85,178.95,169.6,173.64,12903810,2258111313.46
2025-11-20,176.0,177.0,168.43,168.67,8639591,1474839973.88
2025-11-21,165.01,173.61,164.99,169.01,9939354,1691096020.22
2025-11-24,170.0,171.83,166.3,170.34,8675415,1469519202.97
2025-11-25,172.12,177.47,171.2,174.71,12552074,2193823982.87
2025-11-26,173.3,185.51,172.62,182.03,17909192,3246082830.82
2025-11-27,181.65,185.38,179.18,179.65,12829567,2334673243.53
2025-11-28,178.79,183.51,177.8,182.96,9908624,1799997878.74
2025-12-01,184.9,191.39,180.6,189.77,17313365,3222684620.87
2025-12-02,188.0,192.86,185.88,186.0,10994432,2068782122.56
2025-12-03,185.0,186.8,179.66,180.26,9839892,1790351004.02
2025-12-04,179.1,181.88,177.0,181.41,7200706,1295830021.86
2025-12-05,181.5,181.8,177.6,180.25,5877582,1054849268.96
2025-12-08,180.88,182.0,179.47,180.51,7908756,1429995764.23
2025-12-09,181.34,186.9,180.88,181.51,10139128,1860140860.76
2025-12-10,179.8,182.97,177.1,182.74,8253484,1487918957.22
2025-12-11,182.81,185.49,180.1,181.39,8317551,1520423529.87
2025-12-12,180.12,189.63,179.0,185.5,21419476,3994391712.45
2025-12-15,183.72,185.33,180.0,180.15,9522134,1735334860.15
2025-12-16,179.83,180.6,172.99,173.65,7836436,1376221313.24
