date,open,high,low,close,volume,amount
2019-01-02,9.2600,9.4200,9.2200,9.2900,1557360,14472624.0000
2019-01-03,9.2800,9.4400,9.0100,9.1900,1449100,13385846.0000
2019-01-04,9.0600,9.3600,9.0000,9.3500,1783638,16538559.0000
2019-01-07,9.3600,9.5500,9.3600,9.5200,2034860,19272312.0000
2019-01-08,9.4900,9.6700,9.4000,9.6500,2086700,19975691.0000
2019-01-09,9.6600,9.7400,9.4900,9.5300,2501060,24120854.0000
2019-01-10,9.6400,9.7400,9.4600,9.5500,1864560,17870924.0000
2019-01-11,9.4900,9.6700,9.3800,9.5600,1859661,17664621.0000
2019-01-14,9.5600,9.6300,9.4600,9.5300,1263700,12055974.0000
2019-01-15,9.4400,9.7000,9.4400,9.6800,1801700,17269220.0000
2019-01-16,9.6100,9.6900,9.5100,9.6000,1478100,14184947.0000
2019-01-17,9.6800,9.6800,9.4100,9.4500,1260700,12015003.0000
2019-01-18,9.5500,9.5600,9.4100,9.4600,817200,7741217.0000
2019-01-21,9.5600,9.6800,9.4900,9.6700,1768700,17008082.0000
2019-01-22,9.6700,9.7800,9.4900,9.5700,1289500,12349596.0000
2019-01-23,9.5700,9.5900,9.4800,9.5600,740278,7062907.0000
2019-01-24,9.5900,9.7100,9.4800,9.6200,1148600,11013359.0000
2019-01-25,9.6500,9.7100,9.4000,9.4100,1288700,12329865.0000
2019-01-28,9.4800,9.4800,9.2400,9.2600,1019400,9529111.0000
2019-01-29,9.3900,9.3900,8.6000,8.9900,1200100,10752260.0000
2019-01-30,8.9100,9.1000,8.8100,8.9400,858061,7650907.0000
2019-01-31,8.9400,9.1800,8.6000,8.6300,941361,8309549.0000
2019-02-01,8.6500,9.1200,8.6500,9.1100,1035169,9236038.0000
2019-02-11,9.1100,9.3500,9.1100,9.3200,1170469,10829681.0000
2019-02-12,9.2500,9.4400,9.2200,9.3800,1122730,10500649.0000
2019-02-13,9.3800,9.5500,9.3300,9.4800,1465769,13866686.0000
2019-02-14,9.5800,9.5800,9.4600,9.5400,1169800,11136277.0000
2019-02-15,9.5500,9.6200,9.4500,9.5600,1462200,13975004.0000
2019-02-18,9.5900,9.9800,9.5400,9.8800,2693900,26343273.0000
2019-02-19,9.9000,10.5500,9.7800,10.0000,5629069,56699711.0000
2019-02-20,9.8500,9.9700,9.6800,9.8900,3039000,29870802.0000
2019-02-21,9.9200,9.9500,9.7300,9.7700,2594400,25527416.0000
2019-02-22,9.7400,9.9000,9.7000,9.9000,2039099,20066304.0000
2019-02-25,9.9300,10.3300,9.9300,10.3000,5408660,54934224.0000
2019-02-26,10.3600,11.1700,10.1300,10.5600,7674191,81180641.0000
2019-02-27,10.5200,11.0800,10.4000,10.7900,6248221,67397007.0000
2019-02-28,10.8700,10.9300,10.5600,10.6900,3155269,33854556.0000
2019-03-01,10.8000,10.8900,10.6500,10.8400,2654169,28574745.0000
2019-03-04,10.9100,11.4400,10.7800,10.9200,6241252,69215265.0000
2019-03-05,10.8700,11.0000,10.6600,10.9700,4360000,47108633.0000
2019-03-06,10.9800,11.2200,10.8500,11.1500,5482566,60555425.0000
2019-03-07,11.1600,11.4100,11.0000,11.3400,6436817,72299836.0000
2019-03-08,11.1600,11.1700,10.3000,10.4800,4891100,53267171.0000
2019-03-11,10.4500,11.3600,10.4100,11.3600,5983999,65765110.0000
2019-03-12,11.2000,12.5000,11.1900,12.5000,13259800,158348228.0000
2019-03-13,13.1300,13.7500,12.4500,13.7500,13659246,182634654.0000
2019-03-14,13.8900,14.3000,12.3800,12.3800,16574878,213714636.0000
2019-03-15,11.7700,12.3300,11.5900,11.9100,8993772,107009296.0000
2019-03-18,11.8100,11.9000,11.3300,11.9000,6352980,73714521.0000
2019-03-19,11.8000,11.9300,11.6200,11.6900,4487530,52836920.0000
2019-03-20,11.7500,12.4000,11.4600,12.3400,6463662,76860762.0000
2019-03-21,12.0500,12.9500,12.0500,12.3000,8941432,111657572.0000
2019-03-22,12.2000,12.2000,11.8500,12.0400,4298501,51582097.0000
2019-03-25,11.6500,12.0000,11.5800,11.8200,3083280,36403031.0000
2019-03-26,11.7800,12.0400,11.3500,11.5400,2636832,30654123.0000
2019-03-27,11.5400,11.6600,11.1600,11.3700,2195666,25090319.0000
2019-03-28,11.4500,11.5700,11.2600,11.3400,1964212,22444841.0000
2019-03-29,11.3600,11.6400,11.0500,11.5900,2541500,28927897.0000
2019-04-01,11.5900,12.1500,11.5900,11.9400,3205000,38033422.0000
2019-04-02,11.9500,12.2600,11.8700,12.0100,3256169,39214786.0000
2019-04-03,11.9500,12.0500,11.8000,11.9900,2162269,25794718.0000
2019-04-04,12.0000,12.1600,12.0000,12.1200,3241932,39177634.0000
2019-04-08,12.2300,13.0800,12.1000,12.6100,8101744,101288382.0000
2019-04-09,12.4300,13.6400,12.3600,13.3200,9343844,120906891.0000
2019-04-10,13.0600,13.2000,12.6800,12.7300,5851700,75547053.0000
2019-04-11,12.6600,12.6800,12.0300,12.0700,4450300,54684101.0000
2019-04-12,12.0100,12.2300,11.9100,12.1000,1883200,22777369.0000
2019-04-15,12.1500,12.3100,11.8600,11.8600,2148161,25986300.0000
2019-04-16,11.7500,12.0200,11.2300,11.9900,3116379,36192386.0000
2019-04-17,11.9300,12.1200,11.8200,12.0100,2080411,24962520.0000
2019-04-18,12.1000,12.3800,12.0200,12.2200,2505590,30548591.0000
2019-04-19,12.2200,12.2300,11.7500,11.9400,2192051,26196578.0000
2019-04-22,11.9400,12.1500,11.7800,11.8100,1352700,16161322.0000
2019-04-23,11.7200,11.7800,11.2800,11.4000,2129400,24603455.0000
2019-04-24,11.5000,12.5400,11.5000,12.5400,5471666,67986573.0000
2019-04-25,12.5600,12.9000,11.8600,11.9600,7779561,96645398.0000
2019-04-26,11.5400,11.9400,11.5200,11.5900,4287000,50085465.0000
2019-04-29,11.5300,11.6900,10.4800,10.5100,3920361,42330726.0000
2019-04-30,10.4900,10.7400,10.4200,10.5800,1575793,16726013.0000
2019-05-06,10.4000,10.4000,9.5200,9.5200,2501232,24690632.0000
2019-05-07,9.5500,9.8500,9.5500,9.6800,1377369,13333597.0000
2019-05-08,9.3600,9.8800,9.3600,9.7600,1389900,13563427.0000
2019-05-09,9.7400,10.6800,9.6700,10.0100,2439100,24568746.0000
2019-05-10,10.1500,10.3000,9.5200,10.2100,2564445,25911757.0000
2019-05-13,10.2500,10.2500,10.0100,10.0700,1439679,14551454.0000
2019-05-14,9.8500,10.1700,9.8400,10.0700,869900,8733956.0000
2019-05-15,10.1500,10.3000,10.0600,10.2300,1356579,13832869.0000
2019-05-16,10.2700,10.4900,10.1500,10.3600,1774800,18255716.0000
2019-05-17,10.1300,10.4000,9.8100,9.8900,1781969,18047789.0000
2019-05-20,9.9200,10.0700,9.6100,9.9700,734600,7228102.0000
2019-05-21,10.1300,10.2500,9.9200,10.0600,933200,9430159.0000
2019-05-22,10.0400,10.2000,9.9700,10.0600,1075200,10827601.0000
2019-05-23,9.9900,10.1300,9.7000,9.7200,1173400,11545476.0000
2019-05-24,9.7100,9.8100,9.5800,9.6400,746300,7229374.0000
2019-05-27,9.6600,9.9700,9.6000,9.9400,965100,9472905.0000
2019-05-28,9.8800,10.0900,9.8700,9.9900,914600,9167000.0000
2019-05-29,10.2000,10.2500,10.0500,10.0700,1087780,11023472.0000
2019-05-30,10.0900,10.1000,9.9200,10.0100,943900,9454798.0000
2019-05-31,10.0100,10.3000,9.9600,10.2200,1785200,18241081.0000
2019-06-03,10.2100,11.2300,9.9100,10.3200,3419720,35964439.0000
2019-06-04,10.0800,10.2600,9.8500,9.8700,2050700,20476453.0000
2019-06-05,9.9700,10.6800,9.8800,10.3600,2973500,30598207.0000
2019-06-06,10.3600,10.3700,9.8700,9.9400,1884700,18897582.0000
2019-06-10,9.9000,10.0900,9.8300,9.9900,1179780,11782604.0000
2019-06-11,9.9300,10.3000,9.8200,10.2800,2023475,20597771.0000
2019-06-12,10.2500,10.4600,10.0700,10.1500,1493006,15293029.0000
2019-06-13,10.2600,10.4000,10.1500,10.3600,1613295,16646799.0000
2019-06-14,10.4000,10.4500,10.0500,10.0900,1284806,13105486.0000
2019-06-17,10.0800,10.2200,10.0000,10.1600,574800,5822225.0000
2019-06-18,10.6000,11.1800,10.6000,10.6100,7110279,77870105.0000
2019-06-19,10.6200,11.3900,10.3800,11.3400,8956720,97653384.0000
2019-06-20,11.0500,12.4700,11.0500,12.4700,12477220,147793796.0000
2019-06-21,12.2000,13.4900,12.0200,12.1500,14071136,178569073.0000
2019-06-24,11.9300,12.9200,11.7400,12.3700,10595666,129202125.0000
2019-06-25,11.9900,12.0000,11.5400,11.6200,6443400,75673931.0000
2019-06-26,11.5200,12.1100,11.3800,11.7600,5526932,65092948.0000
2019-06-27,11.7000,12.1100,11.5500,11.9900,5975932,71143224.0000
2019-06-28,12.0000,12.0700,11.3100,11.6600,5050232,58915075.0000
2019-07-01,11.9300,12.3400,11.7800,12.0200,5623166,67810247.0000
2019-07-02,11.9900,12.4900,11.5500,12.1500,8080566,97351043.0000
2019-07-03,11.8000,13.3700,11.6400,13.3700,12120600,151517814.0000
2019-07-04,13.9000,14.7100,13.6100,14.7100,23084287,332468487.0000
2019-07-05,16.0000,16.1800,13.9700,16.1800,29665030,460227273.0000
2019-07-08,15.0000,15.6800,14.5600,14.5600,17040427,254906740.0000
2019-07-09,13.1500,13.5800,13.1000,13.1000,10227347,135687154.0000
2019-07-10,12.3100,12.8800,12.1400,12.5000,16190548,200803099.0000
2019-07-11,12.3600,12.6000,11.8100,12.4800,14469915,177971592.0000
2019-07-12,12.3500,12.3500,11.9000,11.9600,8317064,100808564.0000
2019-07-15,11.8300,12.4700,11.6200,12.1700,10149199,122068448.0000
2019-07-16,11.9800,12.3800,11.9300,12.3200,8759058,106390707.0000
2019-07-17,12.1200,12.2600,11.9100,11.9100,5963658,72055187.0000
2019-07-18,11.7100,11.8500,11.2600,11.2900,7025371,80491078.0000
2019-07-19,11.4500,11.7700,11.3800,11.4400,5656680,65270988.0000
2019-07-22,11.8000,11.8800,11.0100,11.0600,5688780,64798267.0000
2019-07-23,11.2800,11.4700,11.1000,11.3700,5075880,57410175.0000
2019-07-24,11.4000,11.6000,11.2800,11.4000,4729100,54090589.0000
2019-07-25,11.4200,11.4400,11.1200,11.3100,4144680,46622879.0000
2019-07-26,11.2700,11.3400,11.1500,11.2100,2804646,31471384.0000
2019-07-29,11.2300,11.2600,11.1000,11.1500,2148200,24019279.0000
2019-07-30,11.1500,11.4000,11.1100,11.2800,3424166,38664614.0000
2019-07-31,11.2000,11.2600,10.9600,11.0200,3258100,36014498.0000
2019-08-01,10.9800,11.1500,10.9000,11.0400,2281100,25206456.0000
2019-08-02,10.8600,10.8900,10.4900,10.8100,4099422,43974560.0000
2019-08-05,10.8200,11.0800,10.7200,10.7600,2923959,31838046.0000
2019-08-06,10.5500,10.6000,9.9100,10.3700,4055798,41908486.0000
2019-08-07,10.4800,10.6200,10.3500,10.4100,2501900,26220401.0000
2019-08-08,10.4800,10.5000,10.3200,10.3700,2019305,21008889.0000
2019-08-09,10.3500,10.7400,10.1300,10.2400,2181200,22752675.0000
2019-08-12,10.2400,10.4700,10.1500,10.4300,1616000,16698306.0000
2019-08-13,10.3800,10.5500,10.2600,10.5200,1925900,20117806.0000
2019-08-14,10.5900,10.6500,10.3100,10.3300,3205345,33580720.0000
2019-08-15,10.1200,10.3000,9.9800,10.2200,2713000,27448095.0000
2019-08-16,10.2500,10.3200,10.1500,10.1800,1907000,19529948.0000
2019-08-19,10.2900,10.5200,10.2300,10.5000,2910138,30302951.0000
2019-08-20,10.5700,10.6300,10.4000,10.4200,2473940,25917782.0000
2019-08-21,10.4200,11.4600,10.4000,11.4600,8321691,90580793.0000
2019-08-22,11.4900,11.4900,11.0400,11.1400,7850055,88131866.0000
2019-08-23,11.1600,11.2300,10.9300,10.9800,3710578,40945154.0000
2019-08-26,10.8500,11.9600,10.6800,11.5000,6007962,67457451.0000
2019-08-27,11.4600,11.7700,11.3400,11.3800,6172762,71203812.0000
2019-08-28,11.0900,11.2600,11.0100,11.1700,3885728,43251493.0000
2019-08-29,11.1700,11.2300,11.0200,11.0600,2566271,28503597.0000
2019-08-30,11.1800,11.1800,10.7400,10.8200,3146977,34361840.0000
2019-09-02,10.9800,11.0500,10.8100,10.9600,2189366,23945066.0000
2019-09-03,10.9700,11.1800,10.8800,11.1700,2534500,27903160.0000
2019-09-04,11.0600,11.3800,11.0500,11.3000,3913866,44080300.0000
2019-09-05,11.3100,11.4500,11.2000,11.2700,4419160,50183412.0000
2019-09-06,11.2700,12.3500,11.1200,11.8200,8784098,102505836.0000
2019-09-09,11.8300,12.0800,11.5000,11.9100,7505849,88433878.0000
2019-09-10,11.8600,12.4000,11.7200,12.2000,8614278,104861014.0000
