date,open,high,low,close,volume,amount
2025-05-06,10.89,11.23,10.82,11.23,610864,191687815.0
2025-05-07,11.48,11.58,11.23,11.48,743149,240521537.0
2025-05-08,11.51,12.24,11.44,11.79,719585,241262849.0
2025-05-09,11.75,11.75,11.27,11.3,588173,189666305.0
2025-05-12,11.34,11.58,11.3,11.37,358355,115750480.0
2025-05-13,11.48,11.51,11.23,11.3,403251,129560184.81
2025-05-14,11.27,11.37,11.17,11.27,344135,109676199.92
2025-05-15,11.3,11.3,10.99,11.03,302314,94884789.56
2025-05-16,11.13,11.17,11.03,11.06,210172,65906161.0
2025-05-19,11.06,11.44,11.06,11.37,475129,151805601.0
2025-05-20,11.37,11.41,11.17,11.27,369884,117929604.36
2025-05-21,11.41,11.48,11.06,11.1,456719,144794495.4
2025-05-22,11.03,11.27,10.92,11.03,377932,119073828.3
2025-05-23,11.1,11.1,10.72,10.75,392323,120522822.94
2025-05-26,10.79,10.96,10.72,10.89,242998,74461260.0
2025-05-27,10.85,11.03,10.79,10.92,265765,82003402.08
2025-05-28,10.92,11.27,10.89,11.1,535216,168862862.46
2025-05-29,11.13,11.2,10.92,11.13,349286,109808919.28
2025-05-30,11.13,11.13,10.82,10.89,292075,90300887.0
2025-06-03,10.79,10.99,10.72,10.92,274711,84491205.96
2025-06-04,10.99,11.44,10.96,11.17,466165,147786774.1
2025-06-05,11.23,11.23,10.96,11.06,363127,113649968.0
2025-06-06,11.1,11.2,10.96,10.99,236015,73657638.0
2025-06-09,11.13,11.23,10.92,11.2,430095,135700203.68
2025-06-10,11.2,11.27,10.89,11.03,387559,121579977.0
2025-06-11,11.06,11.58,11.03,11.2,633783,203450380.0
2025-06-12,11.27,11.27,11.03,11.1,369122,115898802.0
2025-06-13,11.1,11.1,10.85,10.92,380923,117761342.0
2025-06-16,10.89,11.1,10.82,10.99,218719,67876391.4
2025-06-17,11.06,11.23,10.89,10.99,332658,103888185.0
2025-06-18,10.99,10.99,10.79,10.89,280939,86184110.04
2025-06-19,10.89,10.89,10.61,10.65,268694,81493817.0
2025-06-20,10.72,10.79,10.61,10.68,119429,36050260.0
2025-06-23,10.37,10.72,10.37,10.72,203719,61018040.84
2025-06-24,10.72,10.85,10.68,10.85,188169,57484597.25
2025-06-25,10.82,10.99,10.79,10.96,308489,95042612.88
2025-06-26,10.89,10.96,10.82,10.85,230286,70892335.0
2025-06-27,10.85,11.06,10.82,10.92,367474,113978853.3
2025-06-30,10.99,11.27,10.96,10.99,411993,128687477.0
2025-07-01,11.03,12.06,10.92,12.06,1653573,553700501.62
2025-07-02,11.89,11.93,11.48,11.72,1497345,497227491.4
2025-07-03,11.65,11.86,11.58,11.72,710028,235528906.0
2025-07-04,11.79,11.89,11.51,11.58,558617,184383317.0
2025-07-07,11.55,11.68,11.48,11.58,408214,133751726.0
2025-07-08,11.55,11.62,11.48,11.58,393449,128602274.0
2025-07-09,11.62,11.62,11.48,11.58,335800,109960063.52
2025-07-10,11.51,11.82,11.48,11.72,584749,193411385.78
2025-07-11,11.75,12.0,11.68,11.93,754239,253263854.79
2025-07-14,11.89,12.06,11.72,11.93,471180,158974632.72
2025-07-15,11.82,11.86,11.3,11.37,627716,204619993.4
2025-07-16,11.41,11.58,11.27,11.3,417971,135203331.0
2025-07-17,11.3,11.37,11.13,11.2,429875,136337597.0
2025-07-18,11.23,11.23,11.03,11.1,300005,94224866.0
2025-07-21,11.1,11.2,11.06,11.17,416668,131327671.3
2025-07-22,11.2,11.27,10.99,11.03,420163,131503237.24
2025-07-23,10.99,11.1,10.92,10.92,325379,101232318.0
2025-07-24,10.96,11.13,10.89,11.06,334809,104584049.0
2025-07-25,11.06,11.13,10.99,11.03,270503,84457609.0
2025-07-28,11.03,11.03,10.89,10.92,330550,102247101.16
2025-07-29,10.92,11.03,10.85,10.99,299327,92713659.0
2025-07-30,11.03,11.03,10.79,10.79,315511,96924035.0
2025-07-31,10.72,10.82,10.54,10.54,445569,134194817.0
2025-08-01,10.58,10.61,10.34,10.41,517826,152483729.84
2025-08-04,10.34,10.41,10.2,10.34,323738,94122861.0
2025-08-05,10.41,10.47,10.37,10.44,281193,82743695.0
2025-08-06,10.44,10.51,10.34,10.47,229175,67556412.0
2025-08-07,10.44,10.68,10.37,10.65,439269,131338136.98
2025-08-08,10.99,11.13,10.72,10.82,655017,201396968.7
2025-08-11,10.75,10.96,10.58,10.85,571969,174469268.59
2025-08-12,9.82,10.09,9.78,9.78,542976,150201207.42
2025-08-13,8.82,9.89,8.82,9.71,1809122,468422950.52
2025-08-14,9.26,10.65,9.26,10.41,2062366,585466993.12
2025-08-15,10.44,10.96,10.13,10.44,1423040,426502372.14
2025-08-18,10.44,10.54,10.13,10.16,991061,287441993.38
2025-08-19,10.16,10.41,10.03,10.16,673443,194109641.0
2025-08-20,10.16,10.2,9.89,9.96,486592,137418297.0
2025-08-21,9.99,10.09,9.85,9.96,532828,149992190.54
2025-08-22,9.92,9.92,9.51,9.78,616719,168868327.0
2025-08-25,9.78,9.96,9.68,9.75,577369,159659160.52
2025-08-26,9.68,9.78,9.58,9.68,417008,114210920.0
2025-08-27,9.68,9.89,9.4,9.4,618698,169003186.0
2025-08-28,9.4,9.54,9.02,9.37,605323,158104680.1
2025-08-29,9.33,10.06,9.23,9.85,1150756,315550723.97
2025-09-01,9.85,9.89,9.47,9.68,611753,167303708.04
2025-09-02,9.71,9.99,9.61,9.78,730286,203005120.0
2025-09-03,9.75,10.13,9.61,9.89,679997,189181803.0
2025-09-04,9.82,10.09,9.58,9.82,794116,221121033.5
2025-09-05,9.92,10.27,9.92,10.23,849976,242545443.6
2025-09-08,10.16,10.23,9.78,9.89,757063,212587758.0
2025-09-09,9.82,9.99,9.71,9.85,494740,137197042.0
2025-09-10,9.82,10.82,9.37,10.65,2441559,710672560.72
2025-09-11,10.34,10.44,9.96,10.3,1673344,479315004.04
2025-09-12,10.2,10.58,10.2,10.27,1180991,345951651.96
2025-09-15,10.54,10.79,10.09,10.34,1089974,320811671.0
2025-09-16,10.44,11.17,10.37,10.65,1538259,465868250.4
2025-09-17,10.65,11.68,10.3,11.17,2851855,916141048.65
2025-09-18,10.96,11.23,10.65,10.68,2031137,627505616.9
2025-09-19,10.96,11.03,10.16,10.2,1204375,354820051.56
2025-09-22,10.09,10.13,9.75,9.82,818640,227571415.18
2025-09-23,9.71,9.75,9.2,9.51,860466,229345173.8
2025-09-24,9.44,10.06,9.33,9.78,787741,215424266.06
2025-09-25,9.75,9.78,9.47,9.51,548836,148621799.77
2025-09-26,9.47,9.71,9.4,9.4,392738,104907825.84
2025-09-29,9.47,9.51,9.26,9.44,344477,91560012.72
2025-09-30,9.47,9.47,9.26,9.3,450808,118899903.0
2025-10-09,8.4,8.4,8.4,8.4,300924,71018064.0
2025-10-10,7.57,9.13,7.57,8.85,1728922,406043391.78
2025-10-13,8.54,9.4,8.54,8.78,1139306,286489812.08
