date,open,high,low,close,volume,amount,turn,ma20
2019-01-02,3017.0670,3018.7750,2958.4880,2969.535,6866302208,76105572352.0000,0.256006,
2019-01-03,2963.0180,3000.4410,2953.2540,2964.842,7086710272,76664799232.0000,0.263269,
2019-01-04,2940.1910,3036.8140,2935.8290,3035.874,10331897088,107141038080.0000,0.383827,
2019-01-07,3055.1530,3061.7490,3035.9120,3054.303,10116435968,105703940096.0000,0.375687,
2019-01-08,3049.8740,3055.5100,3038.5330,3047.703,8617058560,79628881920.0000,0.320006,
2019-01-09,3065.2300,3117.9610,3062.8470,3078.475,10736434944,117129678848.0000,0.398705,
2019-01-10,3077.4810,3092.5410,3062.5720,3072.686,8527175680,90206871552.0000,0.316663,
2019-01-11,3082.2610,3102.8330,3071.0260,3094.778,7178642432,77420240896.0000,0.266600,
2019-01-14,3092.4980,3097.4060,3064.3820,3067.784,6612170240,68115969024.0000,0.245617,
2019-01-15,3071.5180,3129.3700,3064.6700,3127.99,8877296128,99976892416.0000,0.329623,
2019-01-16,3126.1340,3135.0110,3117.2920,3128.651,8021434112,85781590016.0000,0.297836,
2019-01-17,3132.6280,3141.7090,3110.0600,3111.416,8017487104,82888208384.0000,0.297690,
2019-01-18,3124.5020,3171.6860,3120.3450,3168.173,10396383488,106780659712.0000,0.386007,
2019-01-21,3170.8770,3199.2130,3170.8770,3185.636,9391502336,105536987136.0000,0.348681,
2019-01-22,3181.9490,3181.9490,3135.3370,3143.317,7299052800,78150877184.0000,0.270979,
2019-01-23,3136.0960,3157.6260,3131.8670,3141.053,5987047936,62669651968.0000,0.222264,
2019-01-24,3146.6040,3165.6290,3125.3000,3158.781,7293463552,80963878912.0000,0.270761,
2019-01-25,3165.1810,3203.1740,3164.4080,3184.469,8396772864,93207953408.0000,0.311721,
2019-01-28,3203.1180,3228.8670,3174.7240,3183.777,8262243072,97371496448.0000,0.306566,
2019-01-29,3177.2610,3200.9890,3148.2340,3193.969,7765833472,85943910400.0000,0.288147,3105.6606
2019-01-30,3181.6550,3202.8960,3167.8930,3168.482,6374651648,73005121536.0000,0.236528,3115.6079499999996
2019-01-31,3182.6980,3216.0670,3178.0100,3201.633,8624783872,97509924864.0000,0.320057,3127.4474999999998
2019-02-01,3225.7330,3247.4950,3207.7160,3247.397,8201964032,94766411776.0000,0.304197,3138.02365
2019-02-11,3239.8070,3307.0630,3239.8070,3306.472,9881843456,114752356352.0000,0.366500,3150.6321
2019-02-12,3306.3520,3335.3600,3298.6330,3330.335,12223246336,122834100224.0000,0.453235,3164.7637000000004
2019-02-13,3337.7790,3405.5770,3329.1430,3397.027,16382833152,168866263040.0000,0.607651,3180.6913
2019-02-14,3392.8540,3415.3990,3381.9820,3402.14,15112729088,138649288704.0000,0.560542,3197.1639999999998
2019-02-15,3391.2420,3395.0290,3335.8700,3338.704,14366860288,141555060736.0000,0.532359,3209.3603000000003
2019-02-18,3366.4230,3445.7440,3366.4230,3445.744,18288609024,180449742848.0000,0.677677,3228.2583000000004
2019-02-19,3454.7210,3480.7930,3419.0730,3439.607,17908378624,185762746368.0000,0.662874,3243.83915
2019-02-20,3449.9320,3463.7730,3421.5050,3451.927,14739031040,145570263040.0000,0.545561,3260.00295
2019-02-21,3450.1410,3500.2510,3431.6310,3442.705,18014328832,185197154304.0000,0.666752,3276.5674000000004
2019-02-22,3439.3780,3520.1180,3417.9780,3520.118,18723797504,202869288960.0000,0.693011,3294.16465
2019-02-25,3575.8520,3729.4830,3574.6880,3729.483,34255712256,376382394368.0000,1.267882,3321.357
2019-02-26,3734.7050,3762.1120,3679.2700,3684.693,35803869696,387632861184.0000,1.325183,3348.4258
2019-02-27,3682.8110,3737.6310,3638.3330,3678.392,28623600640,307306147840.0000,1.059425,3375.2927499999996
2019-02-28,3675.2640,3695.4640,3650.0530,3669.37,18481021952,206010957824.0000,0.684025,3400.8222
2019-03-01,3699.2150,3749.7140,3668.7650,3749.714,20471100416,235620622336.0000,0.757680,3429.08445
2019-03-04,3783.0360,3886.5790,3764.7760,3794.104,32349012736,376397283328.0000,1.197307,3459.6008
