code,retrace_date,retrace_close,retrace_low,actual_days,max_high,max_return,end_close,end_return,max_drawdown,volatility,is_profitable
000506,2025-12-15,13.68,13.13,30,25.93,89.546783625731,25.93,89.546783625731,-11.911357340720215,4.379651503241982,True
600498,2025-12-09,24.63,24.31,30,48.75,97.92935444579781,38.02,54.36459602111249,-25.825641025641033,5.178893329904461,True
603655,2026-01-08,42.49,41.1,30,47.5,11.791009649329249,40.41,-4.895269475170641,-16.884210526315798,3.7257152184567226,True
002653,2026-03-19,51.63,50.5,10,59.32,14.89444121634708,57.85,12.047259345341853,-8.797127468581698,3.5989846279724036,True
002394,2026-03-11,16.36,15.85,16,17.34,5.990220048899758,13.64,-16.62591687041564,-27.047289504036907,4.266524484680944,True
600730,2025-11-14,10.06,9.91,30,15.91,58.15109343936381,11.77,16.998011928429413,-28.284098051539914,5.364537685590693,True
002869,2026-03-26,24.9,24.03,5,25.8,3.61445783132531,24.35,-2.2088353413654502,-10.73643410852713,2.695033611827426,True
000679,2025-10-21,8.3,8.22,30,10.1,21.686746987951793,8.51,2.5301204819276992,-20.29702970297029,2.9432221588181817,True
600881,2025-11-14,2.14,2.1,30,2.25,5.140186915887844,1.88,-12.149532710280383,-18.666666666666664,2.8660283716859127,True
002256,2026-01-07,3.73,3.67,30,4.0,7.238605898123325,3.77,1.0723860589812342,-12.0,2.417840047634436,True
600846,2026-01-07,14.3,13.9,30,14.49,1.328671328671325,13.07,-8.601398601398603,-14.975845410628018,1.809885156460156,True
603608,2025-12-31,10.3,10.3,30,12.85,24.757281553398048,10.96,6.407766990291264,-22.418358340688446,4.8846118520615995,True
603032,2025-12-22,20.51,19.71,30,21.1,2.876645538761579,19.36,-5.60702096538275,-11.848341232227487,1.750031988180413,True
000819,2025-12-23,16.83,16.65,30,17.35,3.0897207367795794,16.32,-3.0303030303030187,-9.900990099009906,1.7361615624050264,True
002549,2025-11-19,22.01,21.64,30,25.4,15.40208995910948,21.22,-3.589277601090426,-23.346456692913385,3.2633506457408985,True
603716,2025-10-16,25.88,25.8,30,26.98,4.2503863987635295,21.45,-17.117465224111285,-23.832468495181615,2.233518149179549,True
600592,2025-11-20,22.91,22.85,30,30.44,32.86774334351812,26.99,17.808817110432116,-23.258869908015775,4.419511073220289,True
600397,2025-10-15,7.72,7.67,30,8.26,6.994818652849742,6.47,-16.191709844559586,-25.060532687651328,2.577219865640483,True
600337,2026-03-17,2.74,2.66,12,2.81,2.5547445255474392,2.48,-9.489051094890518,-18.149466192170827,4.830509706574595,True
002151,2026-03-10,44.31,43.51,17,48.24,8.86932972241029,36.66,-17.264725795531493,-25.290215588723058,3.9235832959252877,True
002663,2026-01-23,2.17,2.12,30,2.38,9.677419354838708,2.28,5.069124423963128,-10.36036036036037,2.6171809360203637,True
603800,2025-12-22,53.89,52.58,30,58.71,8.944145481536465,39.51,-26.683985897198,-33.36739908022484,3.608173139036455,True
600538,2026-03-25,6.6,6.41,6,6.86,3.9393939393939497,6.5,-1.5151515151515098,-5.539358600583089,2.0448784583432063,True
000670,2026-03-24,8.78,8.45,7,9.69,10.364464692482917,7.8,-11.16173120728929,-19.7110423116615,4.308452084865358,True
603175,2026-01-08,74.58,72.99,30,78.88,5.765620809868594,72.71,-2.507374631268443,-13.502708279597641,2.724946913215167,True
