code,name,trigger_date,surge_date,exit_date,return_pct,exit_type,support_level,stop_loss_price,hold_days
000506,N/A,2025-12-15,2025-12-12,N/A,N/A,N/A,N/A,N/A,N/A
600498,N/A,2025-12-09,2025-12-08,N/A,N/A,N/A,N/A,N/A,N/A
603655,N/A,2026-01-08,2026-01-07,N/A,N/A,N/A,N/A,N/A,N/A
002653,N/A,2026-03-19,2026-03-10,N/A,N/A,N/A,N/A,N/A,N/A
002394,N/A,2026-03-11,2026-03-10,N/A,N/A,N/A,N/A,N/A,N/A
600730,N/A,2025-11-14,2025-11-13,N/A,N/A,N/A,N/A,N/A,N/A
002869,N/A,2026-03-26,2026-03-25,N/A,N/A,N/A,N/A,N/A,N/A
000679,N/A,2025-10-21,2025-10-20,N/A,N/A,N/A,N/A,N/A,N/A
600881,N/A,2025-11-14,2025-11-13,N/A,N/A,N/A,N/A,N/A,N/A
002256,N/A,2026-01-07,2026-01-06,N/A,N/A,N/A,N/A,N/A,N/A
600846,N/A,2026-01-07,2026-01-06,N/A,N/A,N/A,N/A,N/A,N/A
603608,N/A,2025-12-31,2025-12-19,N/A,N/A,N/A,N/A,N/A,N/A
603032,N/A,2025-12-22,2025-12-19,N/A,N/A,N/A,N/A,N/A,N/A
000819,N/A,2025-12-23,2025-12-22,N/A,N/A,N/A,N/A,N/A,N/A
002549,N/A,2025-11-19,2025-11-18,N/A,N/A,N/A,N/A,N/A,N/A
603716,N/A,2025-10-16,2025-10-15,N/A,N/A,N/A,N/A,N/A,N/A
600592,N/A,2025-11-20,2025-11-17,N/A,N/A,N/A,N/A,N/A,N/A
600397,N/A,2025-10-15,2025-10-14,N/A,N/A,N/A,N/A,N/A,N/A
600337,N/A,2026-03-17,2026-03-16,N/A,N/A,N/A,N/A,N/A,N/A
002151,N/A,2026-03-10,2026-03-09,N/A,N/A,N/A,N/A,N/A,N/A
002663,N/A,2026-01-23,2026-01-22,N/A,N/A,N/A,N/A,N/A,N/A
603800,N/A,2025-12-22,2025-12-19,N/A,N/A,N/A,N/A,N/A,N/A
600538,N/A,2026-03-25,2026-03-24,N/A,N/A,N/A,N/A,N/A,N/A
000670,N/A,2026-03-24,2026-03-20,N/A,N/A,N/A,N/A,N/A,N/A
603175,N/A,2026-01-08,2026-01-07,N/A,N/A,N/A,N/A,N/A,N/A
